machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC04,CN-SNDFJ0CJ,772ALCD,1198774-20,Y8470815R,2025-09-24,320.0,0,GC03,"{datetime.datetime(2025, 9, 26, 0, 0): 60, datetime.datetime(2025, 9, 29, 0, 0): 260}",1
GC04,CN-SNDFJ0CJ,772ALCD,1198957-10,Y8470815R,2025-09-26,480.0,0,GC03,"{datetime.datetime(2025, 9, 29, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198988-10,Y8470668R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 29, 0, 0): 375, datetime.datetime(2025, 9, 30, 0, 0): 105}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198988-20,Y8470668R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 30, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198989-10,Y8470668R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 30, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198989-20,Y8470668R,2025-09-29,480.0,0,GC03,"{datetime.datetime(2025, 9, 30, 0, 0): 35, datetime.datetime(2025, 10, 1, 0, 0): 445}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198990-10,Y8470668R,2025-10-01,220.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 220}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198991-10,Y8470668R,2025-10-01,261.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 261}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198990-20,Y8470668R,2025-10-01,220.0,0,GC03,"{datetime.datetime(2025, 10, 1, 0, 0): 190, datetime.datetime(2025, 10, 2, 0, 0): 30}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198991-20,Y8470668R,2025-10-01,261.0,0,GC03,"{datetime.datetime(2025, 10, 2, 0, 0): 261}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198992-10,Y8470668R,2025-10-01,480.0,0,GC03,"{datetime.datetime(2025, 10, 2, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1198992-20,Y8470668R,2025-10-01,480.0,0,GC03,"{datetime.datetime(2025, 10, 2, 0, 0): 345, datetime.datetime(2025, 10, 3, 0, 0): 135}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199109-10,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 3, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199109-20,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 6, 0, 0): 480}",1
GC04,CN-SNDCJ1CJ,412ALCD集合,1199110-10,Y8470668R,2025-10-03,480.0,0,GC03,"{datetime.datetime(2025, 10, 6, 0, 0): 480}",1
