品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
412ALCD集合/REFRR,,Y8470668R,,,480,,,,,,,,,5.553030303030303,,,,,,●9ASSY,,,,,,,,,,,,E.,1440.0,,,90.51428571428572,台/H,GC04,,,25,
CN-SNDCJ1CJ,1.0,1198992-20,,2025-10-01 00:00:00,,GC03,,,,,,,345,135,,,,,,,,,,,,,,,,200,35,C.,96000.0,,45,0.8,,GC04,,0.5,1,0.0
412ALCD集合/REFRS,,Y8470668R,,,480,,,,,,,,,5.890625,2.109375,,,,,●9ASSY,,,,,,,,,,,,E.,16800.0,,,64,台/H,,,,25,
CN-SNDCJ1CJ,3.0,1199109-10,,2025-10-03 00:00:00,,GC03,,,,,,,,480,,,,,,,,,,,,,,,,14,3,C.,6720.0,,35,0.88,,-,,0.25,1,0.0
412ALCD集合/REFRR,,Y8470668R,,,480,,,,,,,,,,5.553030303030303,,,,,,●10ASSY,,,,,,,,,,,E.,1440.0,,,90.51428571428572,台/H,GC04,,,25,
CN-SNDCJ1CJ,3.0,1199109-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,480,,,,,,,,,,,,,200,35,C.,96000.0,,45,0.8,,GC04,,0.5,1,0.0
412ALCD集合/REFRS,,Y8470668R,,,480,,,,,,,,,,0.5,,,7.5,,,●10ASSY,,,,,,,,,,,E.,16800.0,,,64,台/H,,,,25,
CN-SNDCJ1CJ,3.0,1199110-10,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,480,,,,,,,,,,,,,14,3,C.,6720.0,,35,0.88,,-,,0.25,1,0.0
412ALCD集合/REFRR,,Y8470668R,,,480,,,,,,,,,,,,,5.553030303030303,,,,,,,●14ASSY,,,,,,,E.,1440.0,,,90.51428571428572,台/H,GC04,,,25,
CN-SNDCJ1CJ,3.0,1199110-20,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,155,325,,,,,,,,,,,,200,35,C.,96000.0,,45,0.8,,GC04,,0.5,1,0.0
412ALCD集合/REFRS,,Y8470668R,,,480,,,,,,,,,,,,,2.921875,5.078125,,,,,,●14ASSY,,,,,,,E.,16800.0,,,64,台/H,,,,25,
CN-SNDCJ1CJ,3.0,1199111-10,,2025-10-03 00:00:00,,GC03,,,,,,,,,,,,480,,,,,,,,,,,,14,3,C.,6720.0,,35,0.88,,-,,0.25,1,0.0
412ALCD集合/REFRR,,Y8470668R,,,480,,,,,,,,,,,,,,5.553030303030303,,,,,,,●15ASSY,,,,,,E.,1440.0,,,90.51428571428572,台/H,GC04,,,25,
