,品 目 名 称,,指図－工程,,基 準,前 月 累 計,日付,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-28 00:00:00,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-10-01 00:00:00,2025-10-02 00:00:00,2025-10-03 00:00:00,2025-10-04 00:00:00,2025-10-05 00:00:00,2025-10-06 00:00:00,2025-10-07 00:00:00,2025-10-08 00:00:00,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,2025-10-16 00:00:00,2025-10-17 00:00:00,2025-10-18 00:00:00,ＣＨＩＰ本数,異形　本数,総本数,,,タクト/　　　台　　　(ｓｅｃ）,稼働率(%),,前工程,,切替,取数,
130,TM-300,,1197434-20,,2025-08-04 00:00:00,,GC04,,,,,,,,,,100,,,,,,,,,,,,,,527,44,C.,52700.0,,85,0.5,,GC09,,3.25,1,
131,MAIN集合/REFA,,Y8470452R,,,100,1S7251211 ｺﾈｸﾀ AS0B821-S78B-7H 手乗せ対応,,,,,,,,,,,7.972222222222222,,,,,,,,,,,,,,,E.,4400.0,,,21.176470588235293,台/H,,,,25,
132,TM-300,,-10,,,,GC04,,,,,,,,,,,,,,,,,,,,,,,,233,13,C.,0.0,,40,0.8,,-,,0.75,1,
133,MAIN集合/REFB,,Y8470452R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.,0.0,,,72,台/H,GC09,,,25,
134,TM-300,,-20,,,,GC04,,,,,,,,,,,,,,,,,,,,,,,,527,44,C.,0.0,,85,0.8,,GC09,,0.75,1,
135,MAIN集合/REFA,,Y8470452R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.,0.0,,,33.88235294117647,台/H,,,,25,
136,TM-300 CONTROLLER,,-10,,2026-01-06 00:00:00,,GC04,,,,,30,,,,,,,,,,,,,,,,,,,322,28,C.,9660.0,,45,0.8,,-,,0.75,1,
137,コントローラー集合/REFA,,Y8470519R,,,30,2026年,,,,,,1.21875,,▲12MT●13ASSY(3),,,,,,,,,,,,,,,,,,E.,840.0,,,64,台/H,,,,25,
138,BSR03RP,,1189217-10,,2024-09-09 00:00:00,,GC27,,,,100,,,,,,,,,,,,,,,,,,,,78,1,C.,7800.0,,16,0.8,,-,,0.75,2,
139,HANDY集合/REFA,,Y8469996R,,,100,,ASSY　M22ライン,,,,1.3055555555555556,,,,,,,,,,,,,,,,,,,,,E.,100.0,,,180,台/H,GC09,,,50,
140,BSR03RP,,1189217-20,,2024-09-09 00:00:00,,GC27,,,,100,,,,,,,,,,,,,,,,,,,,41,6,C.,4100.0,,16,0.8,,GC09,,0.75,2,
141,HANDY集合/REFB,,Y8469996R,,,100,,,,,,1.3055555555555556,,,,,,,,,,,,,,,,,,,,,E.,600.0,,,180,台/H,MT22,,,50,
142,BSR031N,,1189399-10,,2024-09-30 00:00:00,,GC27,,,,200,,,,,,,,,,,,,,,,,,,,93,3,C.,18600.0,,16,0.8,,-,,0.75,2,
143,BASE集合/REFB,,Y8469987R,,,200,,,,,,1.8611111111111112,,,,,,,,,,,,,,,,,,,,,E.,600.0,,,180,台/H,GC09,,,50,
144,BSR031N,,1189399-20,,2024-09-30 00:00:00,,GC27,,,,200,,,,,,,,,,,,,,,,,,,,153,19,C.,30600.0,,40,0.8,,GC09,,0.75,2,
145,BASE集合/REFA,,Y8469987R,,,200,,,,17.2,,3.5277777777777777,,,,,,,,,,,,,,,,,,,,,E.,3800.0,,,72,台/H,MT22,,,50,
146,BSR031N,,1198093-10,,2025-09-02 00:00:00,,GC27,,,,20,,,,,,,,,,,,,,,,,,,,145,8,C.,2900.0,,22.5,0.8,,-,,0.75,2,
147,HANDY集合/REFA,,Y8469989R,,,20,,,,,,0.90625,,,,,,,,,,,,,,,,,,,,,E.,160.0,,,128,台/H,GC09,,,50,
148,BSR031N,,1198093-20,,2025-09-02 00:00:00,,GC27,,,,20,,,,,,,,,,,,,,,,,,,,53,10,C.,1060.0,,22,0.8,,GC09,,0.75,2,
149,HANDY集合/REFB,,Y8469989R,,,20,,,,,,0.9027777777777778,,,,,,,,,,,,,,,,,,,,,E.,200.0,,,130.9090909090909,台/H,MT22,,,50,
150,BSR031N,,1198096-10,,2025-09-02 00:00:00,,GC27,,,,,,,,480,,,,,,,,,,,,,,,,145,8,C.,69600.0,,22.5,0.8,,-,,0.75,2,
151,HANDY集合/REFA,,Y8469989R,,,480,先行２０台　ASSY検証OK後に生産,,,,,,,,,4.5,,,,,,,,,,,,,,,,,E.,3840.0,,,128,台/H,GC09,,,50,
152,BSR031N,,1198096-20,,2025-09-02 00:00:00,,GC27,,,,,,,,480,,,,,,,,,,,,,,,,53,10,C.,25440.0,,22,0.8,,GC09,,0.75,2,
153,HANDY集合/REFB,,Y8469989R,,,480,,,,,,,,,,4.416666666666666,,,,,,,,,,,,,,,,,E.,4800.0,,,130.9090909090909,台/H,MT22,,,50,
154,BSR03NC,,-10,,2025-11-05 00:00:00,,GC27,,,,300,,,,,,,,,,,,,,,,,,,,85,2,C.,25500.0,,16,0.8,,-,,0.75,2,
155,BASE集合/REFB,,Y8470000R,,,300,,,,,,2.416666666666667,,,,,,,,,,,,,,,,,,,,,E.,600.0,,,180,台/H,GC09,,,50,
156,BSR03NC,,-20,,2025-11-05 00:00:00,,GC27,,,,300,,,,,,,,,,,,,,,,,,,,131,15,C.,39300.0,,32,0.8,,GC09,,0.75,2,
157,BASE集合/REFA,,Y8470000R,,,300,,,,,,4.083333333333334,,,,,,,,,,,,,,,,,,,,,E.,4500.0,,,90,台/H,MT22,,,50,
158,TS-2910-20,,1198349-10,,2025-10-07 00:00:00,,GC16,,,,,40,,,,,,,,,,,,,,,,,,,393,19,C.,15720.0,,86,0.7,,-,,0.75,1,
159,SGMCA/REFB,,Y8469983RA,,,40,,,,,,,2.115079365079365,,,▲15MT●17ASSY(3),,,,,,,,,,,,,,,,,E.,760.0,,,29.302325581395348,台/H,GC04,,,25,
160,TS-2910-20,,1198349-20,,2025-10-07 00:00:00,,GC16,,,,,40,,,,,,,,,,,,,,,,,,,400,53,C.,16000.0,,86,0.7,,GC04,,0.75,1,
161,SGMCA/REFA,,Y8469983RA,,,40,,,,,,,2.115079365079365,,,,,,,,,,,,,,,,,,,,E.,2120.0,,,29.302325581395348,台/H,,,,25,
162,TS-2910-20,,-10,,2025-11-20 00:00:00,,GC16,,,,,10,,,,,,,,,,,,,,,,,,,393,19,C.,3930.0,,86,0.7,,-,,0.75,1,
163,SGMCA/REFB,,Y8469983RA,,,10,,,,,,,1.0912698412698414,,,,,,,,,,,,,,,,,,,,E.,190.0,,,29.302325581395348,台/H,GC04,,,25,
164,TS-2910-20,,-20,,2025-11-20 00:00:00,,GC16,,,,,10,,,,,,,,,,,,,,,,,,,400,53,C.,4000.0,,86,0.7,,GC04,,0.75,1,
165,SGMCA/REFA,,Y8469983RA,,,10,,,,,,,1.0912698412698414,,,,,,,,,,,,,,,,,,,,E.,530.0,,,29.302325581395348,台/H,,,,25,
166,TS-2910-20,,-10,,2026-02-27 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,393,19,C.,19650.0,,86,0.7,,-,,0.75,1,
167,SGMCA/REFB,,Y8469983RA,,,50,,,,,,,2.4563492063492065,,,,,,,,,,,,,,,,,,,,E.,950.0,,,29.302325581395348,台/H,GC04,,,25,
168,TS-2910-20,,-20,,2026-02-27 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,400,53,C.,20000.0,,86,0.7,,GC04,,0.75,1,
169,SGMCA/REFA,,Y8469983RA,,,50,,,,,,,2.4563492063492065,,,,,,,,,,,,,,,,,,,,E.,2650.0,,,29.302325581395348,台/H,,,,25,
170,TS-2910-22,,1198346-10,,2025-10-08 00:00:00,,GC16,,,,,10,,,,,,,,,,,,,,,,,,,384,19,C.,3840.0,,84,0.8,,-,,0.75,1,
171,SGMCB/REFB,,Y8469985RA,,,10,,,,,,,1.0416666666666667,,▲14MT●16ASSY(2),,,,,,,,,,,,,,,,,,E.,190.0,,,34.285714285714285,台/H,GC04,,,3,
172,TS-2910-22,,1198346-20,,2025-10-08 00:00:00,,GC16,,,,,10,,,,,,,,,,,,,,,,,,,410,52,C.,4100.0,,90,0.8,,GC04,,0.75,1,
173,SGMCB/REFA,,Y8469985RA,,,10,,,,,,,1.0625,,,,,,,,,,,,,,,,,,,,E.,520.0,,,32,台/H,,,,3,
174,TS-2912-12,,1196104-10,,2025-06-03 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,7,0,C.,350.0,,11,0.8,,-,,0.75,3,
175,DDC集合/REFB,,Y8470208R,,,50,,3枚集合基板,,,,,0.9409722222222222,,▲6MT●11ASSY(2),,,,,,,,,,,,,,,,,,E.,0.0,,,261.8181818181818,台/H,GC09,,,75,
176,TS-2912-12,,1196104-20,,2025-06-03 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,5,0,C.,250.0,,11,0.8,,GC09,,0.75,3,
177,DDC集合/REFA,,Y8470208R,,,50,,,,,,,0.9409722222222222,,,,,,,,,,,,,,,,,,,,E.,0.0,,,261.8181818181818,台/H,A38,,,75,
178,TS-2912-12,,1196102-10,,2025-06-03 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,380,19,C.,19000.0,,86,0.8,,-,,0.75,1,
179,MAIN/REFB,,Y8470206R,,,50,,,,,,,2.2430555555555554,,,,,,,,,,,,,,,,,,,,E.,950.0,,,33.48837209302326,台/H,GC09,,,25,
180,TS-2912-12,,1196102-20,,2025-06-03 00:00:00,,GC16,,,,,50,,,,,,,,,,,,,,,,,,,430,51,C.,21500.0,,94,0.8,,GC09,,0.75,1,
181,MAIN/REFA,,Y8470206R,,,50,,,,,,,2.381944444444444,,,,,,,,,,,,,,,,,,,,E.,2550.0,,,30.63829787234043,台/H,A38,,,25,
182,TS-2912-10,,1198343-10,,2025-10-03 00:00:00,,GC16,,,,,,10,,,,,,,,,,,,,,,,,,389,19,C.,3890.0,,56,0.8,,-,,0.75,1,
183,MAIN/REFB,,Y8470378R,,,10,,SII02401　TS-2912-20,,,,,,0.9444444444444444,,▲10MT●15ASSY(2),,,,,,,,,,,,,,,,,E.,190.0,,,51.42857142857144,台/H,GC04,,,10,
184,TS-2912-10,,1198343-20,,2025-10-03 00:00:00,,GC16,,,,,,10,,,,,,,,,,,,,,,,,,405,51,C.,4050.0,,49,0.8,,GC04,,0.75,1,
185,MAIN/REFA,,Y8470378R,,,10,,,,,,,,0.9201388888888888,,,,,,,,,,,,,,,,,,,E.,510.0,,,58.77551020408164,台/H,AT38,,,10,
186,TS-2912-22,,-10,,所要なし,,GC16,,,,,,,,,,,,,,,,,,,,,,,,380,19,C.,0.0,,86,0.8,,-,,0.75,1,
187,MAIN/REFB,,Y8470210R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.,0.0,,,33.48837209302326,台/H,GC09,,,25,
188,TS-2912-22,,-20,,所要なし,,GC16,,,,,,,,,,,,,,,,,,,,,,,,430,51,C.,0.0,,94,0.8,,GC09,,0.75,1,
189,MAIN/REFA,,Y8470210R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E.,0.0,,,30.63829787234043,台/H,A38,,,25,
